賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,農林水産大臣賞,鈴木　正吉,441448,ﾌｨｶｽ B.'ｽﾀｰﾗｲﾄBｸｲｰﾝ',7,2,愛知県
2,生産局長賞,荒木　敏美,441393,ｷｻﾝﾄｿｰﾏ'ﾘﾝﾃﾞﾆｰ',8,2,愛知県
3,東海農政局長賞,舘　誠,442421,ｱｽﾌﾟﾚﾆｳﾑ N.'ﾌﾟﾘｶﾂﾑ ｱｶｷ',6,5,三重県
4,愛知県知事賞(豊成会会長賞),近藤　雄三,442114,ｸﾞｽﾞﾏﾆｱ,7,2,愛知県
5,岐阜県知事賞(豊和会会長賞),渡邉  祐一,446216,ｾﾗｷﾞﾈﾗ ｱﾎﾟﾀﾞ,2.5,20,岐阜県
6,三重県知事賞（豊明花き㈱社長賞）,三田　久憲,442763,ﾚｯｸｽﾍﾞｺﾞﾆｱ,3.5,15,三重県
7,名古屋市長賞,大岩　辰男,441990,ｼｪﾌﾚﾗ A.'ﾊｯﾋﾟｰｲｴﾛｰ',7,1,愛知県
8,豊明市長賞,皿井　昌幸,440961,ｶﾗﾃｱ ｸﾛｶｰﾀ(ｺﾞｰﾙﾄﾞｽﾀｰ),6,4,愛知県
9,愛知県花き温室園芸組合連合会会長賞,近藤　勝彦,441480,ﾃﾞﾍﾝﾊﾞｷｱ'ｶﾐｰﾗ',6,6,愛知県
10,岐阜県園芸特産振興会会長賞,金武　征和,442441,ｷﾌｽｲｶｽﾞﾗ(ｺﾞｰﾙﾃﾞﾝﾊﾆｰｻｯｸﾙ),3,24,岐阜県
11,三重県花植木振興会会長賞,黒宮　武,442070,ｽﾊﾟﾃｨﾌｨﾗﾑ,10,1,三重県
12,NHK名古屋放送局長賞,河合　康之,441079,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,7,2,愛知県
13,愛知県経済農業協同組合連合会会長賞,浅岡　茂光,441775,ｺｳﾓﾘﾗﾝ(ﾌﾟﾗﾃｨｾﾘｳﾑ ｱﾙｼｺﾙﾈ),5,3,愛知県
14,豊明市商工会会長賞,高橋　成治,441782,ｸﾛﾎｳｼ'ｻﾝｼﾓﾝ',6,5,愛知県
15,(公社)園芸文化協会会長賞,石川　孝治,441454,ｶﾝﾖｳ,3,15,愛知県
16,NPO法人 観葉植物開発普及協会会長賞,花井　充,440978,ｽﾊﾟﾃｨﾌｨﾗﾑ'ｾﾝｾｰｼｮﾝ ﾊﾞﾘｴｶﾞ,6,5,愛知県
17,ＮＨＫ出版賞,山本　勲,442010,ｱｶﾘﾌｧ W.'ﾎﾌﾏﾆｰ',7,1,愛知県
18,東海地域花き普及・振興協議会会長賞,米津　一義,441453,ｱﾝｽﾘｳﾑ ｱﾝﾄﾞﾚｱﾅﾑ,4,12,愛知県
53,日本植物運輸（株）社長賞,海田　多郎,441721,ﾗﾐｳﾑ,2.5,24,愛知県
54,愛知豊明花き流通協同組合理事長賞,皿井　勝喜,441046,ﾄﾞﾗｾﾅ C.'ﾊﾞｲｶﾗｰ',8,1,愛知県
