特賞フラグ,特賞名,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
1,生産局長賞（品評会大賞）(1・2年草の部賞),鈴木　武志,168963,ﾍﾟﾁｭﾆｱ,3.5,24,愛知県
2,東海農政局長賞(多年草の部賞),戸崎　明,168582,ﾌﾗﾝﾈﾙﾌﾗﾜｰ'ﾃﾝｼﾉｳｨﾝｸ',3.5,15,岐阜県
3,愛知県知事賞,横井　直美,169006,ﾈﾒｼｱ'ﾋﾟﾝｸﾚﾓﾈｰﾄﾞ',3.5,15,愛知県
4,岐阜県知事賞,大下　秀幸,168902,ｼﾗﾕｷﾐｾﾊﾞﾔ,3,24,岐阜県
5,三重県知事賞(花苗の部賞),里邨　守彦,170124,ﾍﾟﾗﾙｺﾞ'ｸﾞﾗﾝﾊﾟｯｿ ﾎﾞﾙﾄﾞｰ',3.5,20,三重県
6,静岡県知事賞,内藤　宗尊,170534,ﾏｰｶﾞﾚｯﾄ,3,28,静岡県
7,埼玉県知事賞,久保　泰永（ＪＡほくさい）,168406,ｱﾙﾒﾘｱ'ｴﾝｾﾞﾙﾎﾞｰﾙ',3.5,15,埼玉県
8,名古屋市長賞,佐藤　正,169243,ﾀﾞﾘｱ'ｽﾏｲﾙ'(ｼﾘｰｽﾞ),3.5,15,愛知県
9,豊明市長賞(ラベルポップ賞),鈴木　寿久,169360,ﾗﾍﾞﾝﾀﾞｰ S.'ｽｲｰﾄﾍﾞﾘｰﾗｯﾌﾙｽ,3,24,愛知県
10,愛知県花き温室園芸組合連合会会長賞,北沢　保,169426,ｵﾚｶﾞﾉ'ｹﾝﾄﾋﾞｭｰﾃｨ',3.5,20,愛知県
11,岐阜県園芸特産振興会会長賞,吉田　正博,168579,ｶﾞｰﾍﾞﾗ(ｼｮｳﾘﾝ),3,24,岐阜県
12,三重県花植木振興会会長賞(観葉植物・観賞樹・その他の部賞),中村　延幸,169251,ｾﾀﾞﾑ,3,28,三重県
13,静岡県鉢物生産振興会会長賞,井出　春彦,170225,ﾍﾟﾁｭﾆｱ'ｴｺﾁｭﾆｱ'(ｼﾘｰｽﾞ),3,24,静岡県
14,埼玉県花き園芸組合連合会会長賞,横田　辰夫（ＪＡほくさい）,168421,ﾈﾒｼｱ'ｻﾝｻｼｱ'(ｼﾘｰｽﾞ),3.5,20,埼玉県
15,(公社)園芸文化協会会長賞,滑川　裕之,168697,ｽｶﾋﾞｵｻ'ｴｺｰﾌﾞﾙｰ',3.5,20,福島県
16,ＮＨＫ名古屋放送局長賞,手嶋　一郎,168638,ｷｭｳｺﾝﾍﾞｺﾞ'ｷﾀﾉｱｶﾘ',3.5,15,宮城県
17,ＮＨＫ出版賞,川村　一徳,168536,ｶﾘﾌﾞﾗｺｱ'ﾃｨﾌｫｼｰﾀﾞﾌﾞﾙ',3.5,24,栃木県
18,(株)花卉園芸新聞社賞,川上　竜一,168530,ﾍﾟﾁｭﾆｱ,3.5,20,埼玉県
19,(株)誠文堂新光社「農耕と園芸」賞,田島　嶽,168400,ｾﾞﾗﾆｳﾑ'ﾘﾝｺﾞ2000',3.5,24,埼玉県
20,(株)草土出版賞,平井　茂,170872,ﾏﾘｰｺﾞｰﾙﾄﾞ,3,28,奈良県
21,(株)ナカヤマ賞,安田　秀幸,168546,ﾋﾞﾃﾞﾝｽ'ｲｴﾛｰｻﾝｼｬｲﾝ',3.5,24,埼玉県
22,フォルツァ(株)賞,野田　英樹,168584,ﾕﾘｵﾌﾟｽﾃﾞｰｼﾞｰ'ﾌｨﾘｯﾌﾟｽ',3,24,岐阜県
23,丸種絵袋(株)賞,大岩　嘉治,168953,ﾀﾞｲｱﾝｻｽ'ｼﾁﾍﾝｹﾞ',3,24,愛知県
24,(一社)日本ハンギングバスケット協会理事長賞,山下　正美,168716,ﾛﾍﾞﾘｱ ｽﾍﾟｼｵｻ(ｼｭｯｺﾝﾛﾍﾞﾘｱ),3.5,20,兵庫県
25,日本ガーデンデザイナー協会会長賞,金子　昌宏,168545,ﾏﾘｰｺﾞｰﾙﾄﾞ,3.5,15,神奈川県
26,豊明市商工会会長賞,貝沼　輝彦,169320,ﾊﾞｰﾍﾞﾅ'ﾗﾅｲ ﾂｲｽﾀｰｱﾒｼﾞｽﾄ',3.5,8,愛知県
27,東海地域花き普及・振興協議会会長賞,新井　正芳（ＪＡほくさい）,168410,Gｶｰﾈ'ｴｽﾀ',3.5,15,埼玉県
28,愛知豊明花き流通協同組合理事長賞,馬戸場　敏光,169272,ｱﾚﾅﾘｱ ﾓﾝﾀﾅ,3.5,24,三重県
29,豊成会会長賞,吉田　茂雄,168740,ﾙﾋﾟﾅｽ'ﾘﾘｱﾝ'(ｼﾘｰｽﾞ),3.5,15,兵庫県
30,豊和会会長賞,山本　和孝,169162,ｷﾝｷﾞｮｿｳ'ﾀﾞﾝｼﾝｸﾞｸｲｰﾝ'(ﾌｲﾘ,3,24,愛知県
31,豊明花き(株)社長賞,笹田　敏雄,168743,ｷｭｳｺﾝﾍﾞｺﾞ B.'ﾎﾞｻﾉﾊﾞ',3.5,15,兵庫県
32,日本植物運輸(株)社長賞,山口　順治,168713,ﾌﾞﾗｷｶﾑ'ﾎﾜｲﾃｨｰ',2.5,24,兵庫県
