特賞フラグ,特賞名,（代表者名）,代表者,荷受NO,品名,鉢ｻｲｽﾞ,入数,(都道府県名),都道府県名,生産者査定CD
1,生産局長賞（品評会大賞）(花の部賞),谷澤　明子,谷澤　明子,274110,ｲﾍﾞﾘｽ'ｸｲｰﾝｱﾒｼﾞｽﾄ',3,24,栃木県　,栃木県,7
2,東海農政局長賞,鈴木　寿久,鈴木　寿久,584558,ﾍﾟﾁｭﾆｱ(ﾕﾆｰｸ),3.5,20,愛知県　,愛知県,7
3,愛知県知事賞,梅村　庄治,梅村　庄治,275496,ﾏﾘｰｺﾞｰﾙﾄﾞ,3.5,15,愛知県　,愛知県,7
4,岐阜県知事賞,浅野　寿晴,浅野　寿晴,275934,ﾛｰﾀﾞﾝｾﾏﾑ'ｸﾚｰﾙ ﾁｪﾘｰ',3,24,岐阜県　,岐阜県,7
5,三重県知事賞,中村　延幸,中村　延幸,274910,ｷﾝｷﾞｮｿｳ'ｱﾝﾃｨｸｲﾃｨ'(ｼﾘｰｽﾞ),3.5,24,三重県　,三重県,7
6,静岡県知事賞,秋山　肇,秋山　肇,274033,ﾏｰｶﾞﾚｯﾄ'ﾑｰﾝﾗｲﾄ'(ｷｲﾛ),3.5,15,静岡県　,静岡県,7
7,埼玉県知事賞,横田　仁詩,横田　仁詩,274171,ﾈﾒｼｱ,3.5,24,埼玉県　,埼玉県,7
9,名古屋市長賞,山内　哲也,山内　哲也,584425,ﾊﾞｰﾍﾞﾅ'ﾗﾅｲ ﾘﾓﾝﾁｪﾛ',3.5,24,愛知県　,愛知県,7
10,豊明市長賞,渡辺　邦通,渡辺　邦通,274471,ﾌﾞﾙｰﾃﾞｰｼﾞｰ'ﾊﾆｰﾌﾞﾙｰ',3.5,15,愛知県　,愛知県,7
11,愛知県花き温室園芸組合連合会会長賞,坂野　透,坂野　透,274696,ﾋﾞﾃﾞﾝｽ'CF.ﾎｯﾄｲｴﾛｰ',3.5,24,愛知県　,愛知県,7
12,岐阜県園芸特産振興会会長賞(観葉・観賞樹・その他の部賞),金子　勝哉,金子　勝哉,273701,ｺｺﾞﾒｳﾂｷﾞ,3,24,岐阜県　,岐阜県,8
13,三重県花植木振興会会長賞,徳丸　昇,徳丸　昇,569422,ｸﾗｯｽﾗ'ﾚﾓｰﾀ',2.5,24,三重県　,三重県,8
14,静岡県鉢物生産振興会会長賞,大石　建也,大石　建也,275834,ﾎﾟｯﾄﾌﾞｰｹ(ｾﾛｼｱ･ｶｽﾐｿｳ),3.5,24,静岡県　,静岡県,7
15,埼玉県花き園芸組合連合会会長賞,萩原　豊,萩原　豊,273871,ﾗﾍﾞﾝﾀﾞｰ S.'ﾜﾀﾎﾞｳｼ',4.5,11,埼玉県　,埼玉県,7
17,(公社)園芸文化協会会長賞,河又　秀雄,河又　秀雄,273851,ﾕｰﾌｫﾙﾋﾞｱ(ｸｻﾊﾞ),3.5,20,栃木県　,栃木県,7
18,ＮＨＫ名古屋放送局長賞(ラベル・ポップ賞),佐藤　修司,佐藤　修司,274503,ﾗﾍﾞﾝﾀﾞｰ,3.5,20,岩手県　,岩手県,7
19,ＮＨＫ出版賞,増田　佳紀,増田　佳紀,273697,ｷｭｳｺﾝﾍﾞｺﾞ'ﾌﾟﾗｲﾏﾘｰ'(ｼﾘｰ,3.5,15,兵庫県　,兵庫県,7
20,(株)花卉園芸新聞社賞,川村　一徳,川村　一徳,274129,ｶﾘﾌﾞﾗｺｱ'ﾃｨﾌｫｼｰｱﾝﾃｨｰｸ'(ｼﾘ,3.5,24,栃木県　,栃木県,7
21,(株)誠文堂新光社「農耕と園芸」賞,林　博俊,林　博俊,274063,ｱｼﾞｭｶﾞ'ﾁｮｺﾚｰﾄﾁｯﾌﾟ',3.5,20,群馬県　,群馬県,7
22,(株)草土出版賞,長尾　安博,長尾　安博,275713,ﾎｸｼｱ'ﾌﾟｰﾆｰ'(ｼﾘｰｽﾞ),3.5,20,兵庫県　,兵庫県,7
23,(株)ナカヤマ賞,安田　秀幸,安田　秀幸,274158,ﾌﾞﾗｷｶﾑ'ﾌﾞﾗｽｺﾊﾞｲｵﾚｯﾄ',3.5,24,埼玉県　,埼玉県,7
24,フォルツァ(株)賞,金井　章浩,金井　章浩,274132,ｶﾝﾊﾟﾆｭﾗ'ﾊﾟｰﾙ',3.5,24,埼玉県　,埼玉県,7
25,丸種絵袋(株)賞,谷井　敬一郎,谷井　敬一郎,273694,ﾌｳﾘﾝｵﾀﾞﾏｷ(ﾔｴ),3,28,兵庫県　,兵庫県,7
26,(一社)日本ﾊﾝｷﾞﾝｸﾞﾊﾞｽｹｯﾄ協会理事長賞,大下　秀幸,大下　秀幸,271051,ｼﾗﾕｷﾐｾﾊﾞﾔ,3,24,岐阜県　,岐阜県,8
27,日本ガーデンデザイナー協会会長賞,八幡　博志,八幡　博志,272392,ｾﾈｼｵ'ｴﾝｼﾞｪﾙｳｨﾝｸﾞｽ',2.5,24,岩手県　,岩手県,7
28,豊明市商工会会長賞,麻野間　秀一,麻野間　秀一,274307,ｶﾘｵﾌﾟﾃﾘｽ'ｻﾏｰｿﾙﾍﾞｯﾄ',3,15,愛知県　,愛知県,7
29,東海地域花き普及・振興協議会会長賞,吉田　正博,吉田　正博,273542,ｶﾞｰﾍﾞﾗ(ﾐﾆ),3,24,岐阜県　,岐阜県,7
30,愛知豊明花き流通協同組合理事長賞,高橋　幹生,高橋　幹生,273849,ｴｰﾃﾞﾙﾜｲｽ'ﾌﾞﾛｯｻﾑｵﾌﾞｽﾉｰ',3,15,栃木県　,栃木県,7
31,豊成会会長賞,丸山　省二,丸山　省二,274316,ｶﾞｳﾗ'ﾚｲﾝﾎﾞｰﾌﾟﾁ',3,24,長野県　,長野県,7
32,豊和会会長賞,小林　孝之,小林　孝之,274144,ｶﾗﾝｺｴ,3.5,20,埼玉県　,埼玉県,7
33,豊明花き(株)社長賞,竹石　勝,竹石　勝,271057,ｱｻﾞﾚｱ'ｶﾒﾚｵﾝ',2.5,24,新潟県　,新潟県,7
34,日本植物運輸(株)社長賞,高見　昌伸,高見　昌伸,273817,ｱｽﾃﾘｽｶｽ'ｺﾞｰﾙﾄﾞｺｲﾝ',3,28,兵庫県　,兵庫県,7
504,ラベル・ポップ賞,谷澤　正勝,谷澤　正勝,273547,ﾏﾘｰｺﾞｰﾙﾄﾞ,3.5,15,神奈川県,神奈川県,7
